1,21 - 1, Mixed Cocktail, Tall Highball, Lime Wheel, Mother`s Day, 1 1/4 oz. Rum, 1 oz. Lime juice, 1 oz. Simple Syrup, Dash Grenadine, In Shaker, mix ingredients, pour over ice,
2,21 - 2, Mixed Cocktail, Collins, Orange Slice & Lime Wheel, Green, 1 1/4 oz. Coconut Rum, 3/4 oz. Melon Liqueur, 2 oz. Orange juice, 2 oz. Pineapple juice, Pour Over 1 oz. Soda, In Shaker, mix ingredients, pour over ice
3,21 - 3, Mixed Cocktail, Highball Glass, Pineapple, Any, 1 1/2 oz. Early Times, 1 oz. Apricot Brandy, 2 oz. Pineapple juice, Club Soda, Shake ingredients with ice; pour into highball glass; stir in club soda,,,
4,57 T - Birds (California Plates), Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Scotch, 1 oz. Coffee Liqueur, 3 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
5,57 T - Birds (Cape Cod Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Cranberry juice, In Shaker, mix ingredients with ice and strain into glass,,,
6,57 T - Birds (Florida Plates), Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz.Amaretto, 1/2 oz. Vodka 1/2 oz. Grapefruit juice, In Shaker, mix ingredients with ice and strain into glass,,,
7,57 T - Bird, Mixed Cocktail, Rocks Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Grand Marnier, 1/2 oz. Amaretto Di Saronno, splash Pineapple juice, Fill shaker half full with ice, add ingredients; stir; strain into rocks glass,,
8,77 Sunset Strip - 1, Martini, Chilled Cocktail, 3 Speared Cocktail Onions, Father`s Day, 2 oz. Gin or Vodka, Dash Dry Vermouth, In Shaker, mix ingredients with ice and strain into glass,,,,
9,77 Sunset Strip - 2, Shooter, Chilled Rocks, None, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz. Amaretto, 1/2 oz. Vodka, 1/2 oz. Pineapple juice, In Shaker, mix ingredients with ice and strain into glass,,
10,77 Sunset Strip - 3, Shooter, Cordial, None, 4th of July, 1/2 oz. Creme de Noya, 1/2 oz. White Creme de Menthe, 1/2 oz. Blue Curacao, Pour Liqueurs in the order they are listed,,,,
11,7th - Inning Stretch, Mixed Cocktail, Cocktail Glass, None, Any, 1 part Jack Daniel`s, 2 parts Orange juice, 2 parts 7-Up, Mix ingredients and pour into cocktail glass,,,,
12,Adam`s Apple - 1, Highball, Tall Rocks, None, Any, 1 1/2 oz. Galliano, 3/4 oz. White Creme de Menthe, Pour ingredients as listed over ice,,,,,
13,Adam`s Apple - 2, Martini, Chilled Cocktail, Lemon Twist, Any, 1 oz. Harvey`s Bristol Cream, 1 oz. Dubonnet, In Shaker, mix ingredients with ice and strain into glass,,,,
14,Adam`s Apple - 3, Mixed Cocktail, Rocks Glass, None, Any, 1 1/4 oz. Finlandia Vodka, Pour Finlandia vodka over ice, fill with apple cider, stir,,,,
15,Adios Mother - 1, Frozen Drink, Tall Specialty, Lime Wheel, Cinco de Mayo, 1 1/4 oz. Gold Tequila, 1/2 oz. Triple Sec, 1 1/2 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
16,Adios Mother - 2, Highball, Tall Highball, None, Any, 3/4 oz. Irish Cream, 3/4 oz. Amaretto, 1 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,
292,Colorado Bulldog, Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Vodka, 1 oz. Coffee Liqueur, 2 oz. Half & Half, Top with Cola, In Shaker, mix ingredients, pour over ice,
293,Comfort Cappuccino, Coffee Drink, Mug, Whipped cream, if desired, Any, 1 1/2 oz. Southern Comfort,  Hot Cappuccino,  Sugar (to taste), Pour Southern Comfort into mug of steaming cappuccino. Sweeten to taste,,,
294,Comfort Coffee - 1, Cappuccino, Cappuccino Cup, Heavy Whipping cream, Shaved Chocolate & Cookie, Any, 4 oz. Milk, 1 Espresso Shot, Steam milk in cappuccino cup until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of foamed milk,,
295,Comfort Coffee - 2, Coffee Drink, Mug, Whipped cream, if desired, Any, 1 1/2 oz. Southern Comfort,  Hot Black Coffee,  Sugar (to taste), Pour Southern Comfort into a mug of coffee. Sweeten to taste,,,
296,Comfort Cooler, Mixed Cocktail, Tall Glass, Marischino cherry, Any, 2 oz. Southern Comfort, 1/2 oz. Lime juice,  Grapefruit juice, Fill tall glass with ice. Add Southern Comfort and lime juice. Fill with grapefruit juice and stir,,,,
297,Comfort Cream, Mixed Cocktail, Short Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Irish Cream, 1/2 Shaker of Ice, Shake ingredients over ice. Strain into a short glass,,,,
298,Comfort Peach, Mixed Cocktail, Tumbler, None, Any, 3/4 oz. Southern Comfort, 3/4 oz. Peach Schnapps,  Orange juice, Fill the tumbler with ice. Add Southern Comfort and schnapps. Fill with orange juice and stir,,,,
299,Comfort Sour, Mixed Cocktail, Tumbler, Orange slice and cherry, Mother`s Day, 1 1/2 oz. Southern Comfort, 1/2 oz. Lemon juice, 1 t. Sugar, Shake Southern Comfort, lemon and sugar over ice. Strain into tumbler or sour glass,,,
300,Comfort Wallbanger, Mixed Cocktail, Tall Glass, None, Any, 1 oz. Southern Comfort, 1/2 oz. Liquore Galliano,  Orange juice, Fill tall glass with ice. Add Southern Comfort and Galliano. Fill with orange juice and stir,,,,
301,Cool Southern Comfort, Mixed Cocktail, Coffee Mug, Cherry, Any, 1 1/2 oz. Southern Comfort, 1/2 c Whipping Cream, 1 c Ice Cubes, 1/2 oz. Coffee Liqueur (Kahlua), dash Grenadine, Blend,,
302,Cooler, Frozen Drink, Tall Specialty, Pineapple Slice & Cherry, Any, 2 oz. Frozen Raspberries, 1 1/4 oz. Myers`s Dark Rum, 3 oz. Pina Colada Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
303,Copperhead, Highball, Tall Highball, Lime Squeeze, Any, 1 1/4 oz. Vodka, Fill with Ginger Ale, Pour ingredients as listed over ice,,,,,
304,Coral Reef - 1, Ice Cream Drink, Tall Specialty, None, St. Patrick`s Day, 3/4 oz. Irish Whiskey, 3/4 oz. White Creme de Cacao, 3/4 oz. Coffee Liqueur, 1/2 oz. Coffee, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
305,Coral Reef - 2, Mixed Cocktail, Stemmed Glass, Double sipstik and cherry, Any, 2 oz. Southern Comfort, 1 oz. Myers Golden Rum, 2 oz. Orange juice, 1 oz. Sweet and Sour Mix, Pour ingredients in listed order over ice in a cocktail shaker; shake until foamy; pour into red wine goblet,,,
306,Cosmopolitan, Martini, Chilled Cocktail, None, Mother`s Day, 1 1/4 oz. Vodka, 1/2 oz. Triple Sec, 1/2 oz. Cranberry juice, 1 Lime Squeeze, In Shaker, mix ingredients with ice and strain into glass,,
307,Cranapple Wine Cooler, Wine Drink, Tall Specialty, Cherry, Any, 5 oz. Chablis, 1/2 oz. Apple juice, 1/2 oz. Cranberry juice, Fill with Lemon-Lime Soda, Pour ingredients as listed over ice,,,
308,Cranberry Cooler, Mixed Cocktail, Collins, Orange Slice & Cherry, Any, 1 1/4 oz. Amaretto, 3 oz. Cranberry juice, Float 1 oz. Orange juice, In Shaker, mix ingredients, pour over ice,,
309,Cran-strawberry Punch, Frozen Drink, Tall Glass, None, Any, 2 oz. Southern Comfort, 1 oz. Korbel Brandy, 12 Whole Strawberries Hulled, 2 c Crushed Ice, 2 oz. Dark Rum, Process all ingredients, except Southern Comfort, in a blender until slushy; divide mixture evenly among 4 tall glasses; top each drink with 1/2 oz
310,Crash And Burn, Mixed Cocktail, Tall Glass, Lemon wedge and cherry, Any, 1 oz. Southern Comfort, 1 oz. Amaretto, 1 oz. Bacardi 151 Proof Rum, 1 oz. Bacardi Dark, 5 oz. Pineapple juice, 4 oz. Cranberry juice, 1 oz. Sour Mix, Mix ingredients as listed
311,Creme De Menthe Frappe, Highball, Cocktail, Speared Cherry, St. Patrick`s Day, 1 1/2 oz. Green Creme de Menthe, Pour ingredients as listed over crushed ice,,,,,,
312,Cuba Libre, Highball, Tall Highball, Lime Squeeze, Any, 1 1/4 oz. Rum, Fill with Cola, With Ice, Build,,,,
313,Cup O` Mocha, Coffee Drink, Footed Glass Mug, Preheated, Aerosol Whipping Cream, Any, 1/2 oz. Chocolate Syrup, Fill with Hot Coffee, Build,,,,
314,Cutty And Cola, Mixed Cocktail, Highball, Lemon twist, Any, 2 oz. Cutty Sark Scots Whisky, Cola, Pour Cutty over ice into highball glass. Fill with cola and a twist of lemon,,,,,
315,Cutty Cooler - 1, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Cinco de Mayo, 1 Sugar Cube, Add Coffee and Muddle, 3/4 oz. Coffee Liqueur, 3/4 oz. Tequila, Fill with Hot Coffee, Pour ingredients as listed into preheated mug,
316,Cutty Cooler - 2, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Cutty Sark Scots Whisky, Lemonade, Shake with ice and strain into a cocktail glass,,,,,
317,Cutty Kick, Mixed Cocktail, Cocktail Glass, None, Any, 3/4 oz. Cutty Sark Scots Whisky, 3/4 oz. Irish Whisky, juice of 1/4 Lemon, 2 Dashes Orange Bitters, Shake with ice and strain into a cocktail glass,,,
318,Cutty R And R, Mixed Cocktail, Cocktail Glass, Maraschino cherry, Any, 1 1/2 oz. Cutty Sark Scots Whisky, 3/4 oz. Sweet Vermouth, Shake with ice and strain into a cocktail glass,,,,,
319,Cutty Rickey, Mixed Cocktail, Highball, Lime twist, Any, 1 1/2 oz. Cutty Sark Scots Whisky, juice of 1/2 Lime, Club Soda, Pour into highball glass over ice and fill with club soda. Add a twist of lime and stir,,,,
320,Cutty Sour - 1, Cappuccino, Footed Glass Mug, Heavy Whipping Cream, Shaved Chocolate & Cookie, Any, 1 oz. Coffee Liqueur, 3 oz. Milk, 1 Espresso Shot, Steam milk and liquor together in mug until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of steamed milk/liquor mixture,
321,Cutty Sour - 2, Mixed Cocktail, Whisky Sour, An orange slice and a maraschino cherry, Any, 1 1/2 oz. Cutty Sark Scots Whisky, 1/2 oz. Lemon juice; 1 tbsp Sugar Syrup, Mix all in a shaker with crushed ice. Strain into a chilled whisky sour glass,,,,,,
322,Cutty Walters, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Cutty Sark Scots Whisky, 1 tbsp Orange juice, 1 tbsp Lemon juice, Shake with ice and strain into a cocktail glass,,,,,
323,C-ya, Shooter, Shot Glass, None, Any, 1 part Southern Comfort, 1 part Finlandia Vodka, 1 part Amaretto, 1 part Orange juice, 1 part Cranberry juice, Combine ingredients, chill, and strain; pour into a shot glass,
324,Danish Manhattan, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/4 oz. Kirschwasser, 1/4 oz. Peter Heering, Mix all ingredients with cracked ice in a shaker or blender; strain into a chilled cocktail glass,,,,,
325,Danish Mary - 1, Ice Cream Drink, Tall Specialty, Aerosol Whipping Cream, Any, 1 oz. Amaretto, 1 oz. Dark Creme de Cacao, 1 oz. Chocolate Syrup, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
326,Danish Mary - 2, Mixed Cocktail, Collins, Lime Squeeze & Celery, Brunch, 1 1/4 oz. Danish Vodka, 4 oz. Bloody Mary Mix, In Shaker, mix ingredients, pour over ice,,,,
327,Dawg Bite, Shooter, Shot Glass, None, Any, 1/2 oz. Jack Daniel`s, 1/2 oz. Southern Comfort, Mix ingredients as listed,,,,,,
328,De Rigueur, Cappuccino, Footed Glass Mug, Heavy Whipping Cream, Shaved Chocolate & Cookie, Any, 1/4 oz. Brandy, 1/2 Coffee Liqueur, 1/2 oz. Dark Cocoa, 3 oz. Milk, 1 Espresso Shot, Steam milk and liquor together in mug until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of steamed milk/liquor mixture
329,Denver Mint, Mixed Cocktail, Highball Glass, Orange slice and straw, Any, 1 1/2 oz. Early Times, 1/2 oz. White Creme de Menthe, 3/4 oz. Lime juice, 2 tsp Sugar, Shake ingredients over ice; strain into highball glass filled with ice; stir in club soda,,,,
330,Depth Charge, Mixed Cocktail, Beer Mug, None, Any, 1 oz. Early Times, Mug Beer, Drop into a mug of beer,,,,,,
331,Dirty Mother (Tall White Russian), Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Vodka, 1 oz. Coffee Liqueur, 3 oz. Half & Half, In Shaker, mix ingredients, pour over ice,,,
332,Dog Sled, Cappuccino, Footed Glass Mug, Heavy Whipping Cream, Shaved Chocolate & Cookie, St. Patrick`s Day, 1 oz. Irish Whiskey, 3 oz. Milk, 1 Espresso Shot, Steam milk and liquor together in mug until foamy, Brew 1 Shot of Espresso, Pour Shot of Espresso into center of steamed milk/liquor mixture,,
333,Double D, Mixed Cocktail, Tall Glass, None, Any, 3/4 oz. Southern Comfort, 3/4 oz. Metaxa, 3/4 oz. Cherry Brandy, dash Sour Mix, dash Cranberry juice, Mix ingredients as listed,,,
334,Double Dutch Treat, Ice Cream Drink, Tall Specialty, Aerosol Whipping Cream & Chopped Pecans, Any, 1 oz. Chocolate Mint Liqueur, 1 oz. White Creme de Cacao, 1 oz. Chocolate Syrup, 2 tsp. Chopped Pecans, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed, Combine ingredients in blender, blend until smooth,
335,Double Eagle, Mixed Cocktail, Rocks Glass, None, Any, Equal part Southern Comfort, equal part Noilly Prat Sweet Vermouth, equal part Noilly Prat Dry Vermouth, Serve very chilled and up,,,,,
336,Down Southern Comforter Punch, Mixed Cocktail, Stemmed Glass, None, Any, 6 oz. Southern Comfort, 2 oz. Rum, 1-15 oz. can Coco Lopez, 1/2 c Fresh Cream, 1/2 c Milk, Whip cream with a whisk to a shaving cream consistency; shake can of cream of coconut thoroughly; add to cream; pour in milk, rum and Southern Comfort,,
337,Downhill Racer, Mixed Cocktail, Collins, None, Any, 1 1/4 oz. Rum, 1/2 oz. Amaretto, 3 oz. Pineapple juice, In Shaker, mix ingredients, pour over ice,,
338,Downhome Punch, Frozen Drink, Tall Specialty, Lime Wheel & Peach Slice, Cinco de Mayo, 2 oz. Peach Slices with Syrup, 1 1/4 oz. Tequila, 1/2 oz. Peach Schnapps, 1/2 oz. Triple Sec, 1 oz. Margarita Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
339,Dreamsicle, Ice Cream Drink, Tall Specialty, None, Birthday, 1 oz. Triple Sec, 1 oz. White Creme de Cacao, 1 oz. Half & Half, 1 Scoop Orange Sherbet, 1 Scoop Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth
340,Dry Manhattan, Mixed Cocktail, Cocktail Glass, Olive, Any, 1 1/2 oz. Early Times, 1/2 oz. Noilly Prat Dry Vermouth, Mix ingredients as listed,,,,,
341,Dry Rob Roy, Mixed Cocktail, Cocktail Glass, None, Any, 1 1/2 oz. Usher`s Scotch, 1/2 oz. Noilly Prat Dry Vermouth, Mix ingredients as listed,,,,,
342,Dubonnet Cocktail, Martini, Chilled Cocktail, Lemon Twist, Any, 1 1/2 oz. Dubonnet, 3/4 oz. Gin, Dash Orange Bitters, In Shaker, mix ingredients with ice and strain into glass,,,
343,Dubonnet Fizz, Mixed Cocktail, Collins, Lemon Squeeze & Cherry, Any, 1 1/4 oz. Dubonnet, 1 oz. Cherry Liqueur, 1 oz. Orange juice, 1/2 oz. Lemon juice, Fill with Soda, In Shaker, mix ingredients, pour over ice
344,Dubonnet Manhattan, Mixed Cocktail, Old Fashioned Glass, None, Any, 1 1/2 oz. Canadian Mist, 1 oz. Dubonnet Rouge, Maraschino Cherry, Mix all ingredients, except cherry, with cracked ice in a shaker or blender; pour into old fashioned glass,,
345,Dutch Coffee, Coffee Drink, Footed Glass Mug, Preheated, Heavy Whipping Cream, Any, 1 Sugar Cube, Add Coffee and Muddle, 1 1/4 oz. Chocolate Mint Liqueur, Fill with Hot Coffee, Build,,
346,Dyevitchka, Mixed Cocktail, Collins, Pineapple Wedge & Cherry, Any, 1 1/4 oz. Vodka, 1/2 oz. Triple Sec, 21/2 oz. Sweet & Sour Mix, 1/2 oz. Pineapple juice, In Shaker, mix ingredients, pour over crushed ice,
347,E.t, Shooter, Cordial, None, Halloween, 1/2 oz. Melon Liqueur, 1/2 oz. Irish Cream, 1/2 oz. Vodka, Pour Liqueurs in the order they are listed,,,,
348,Easy Eggnog, Mixed Cocktail, Punchbowl, None, Winter, 1 cup Southern Comfort, 1 qt. Dairy Eggnog,  Ground Nutmeg, Chill ingredients. Combine and blend in punch bowl by beating. Dust with nutmeg. Serves 10 for 1 drink: Pour 4 parts eggnog, 1 part Southern Comfort in a short glass. Dust with nutmeg,,,
349,Eggnog, Mixed Cocktail, Coffee Mug, None, Winter, 1 1/2 oz. Southern Comfort, 6 oz. Eggnog, Mix ingredients as listed,,,,,
350,Electric Blue, Mixed Cocktail, Collins, None, Blue, 1 oz. Spiced Rum, 3 oz. Sweet & Sour, 1 oz. Prepared Blue Jello, Top with Lemon-Lime Soda, Mixer with 1/2 scoop ice. Shake ingredients of mixer & pour directly into collins using the ice from the mixer. Fill glass with ice and top with Lemon-Lime Soda,,,
351,Electric Lemonade, Mixed Cocktail, Highball, Lemon Slice, Any, 1 1/4 oz. Vodka, 1/2 oz. Blue Curacao, 2 oz. Sour Mix, Splash of 7-Up, In shaker, mix ingredients as listed,,
352,Elwood`s Punch, Mixed Cocktail, Collins, Lemon Wheel, Any, 1/2 Fresh Lemon (squeeze & drop into glass), Fill 2/3 crushed ice, 1 oz. Bourbon, 1 1/4 oz. Simple Syrup, Fill with Draft Beer, Pour ingredients as listed over crushed ice,,
353,Emerald, Highball, Tall Rocks, None, St. Patrick`s Day, 1 1/2 oz. Brandy, 3/4 oz. Green Creme de Menthe, Pour ingredients as listed over ice,,,,,,,
354,Et And Coke, Mixed Cocktail, Rocks Glass, None, Any, 1 1/2 oz. Early Times, 4 oz. Coke, Mix ingredients as listed,,,,,,,
355,Et And Highball, Mixed Cocktail, Highball Glass, None, Any, 1 1/2 oz. Early Times, 4 oz. Tonic Water, Crushed Ice, Mix ingredients as listed,,,,,,
356,Et Longshot, Mixed Cocktail, Tall Glass, None, Kentucky Derby, 1 1/2 oz. Early Times, 1 1/2 oz. Amaretto, Orange juice, splash Lemon juice, Mix ingredients as listed,,,,,
357,Et Manhattan, Mixed Cocktail, Cocktail Glass, Cherry, Any, 1 1/2 oz. Early Times, 3/4 oz. Noilly Prat Sweet Vermouth, Cherry, Mix ingredients as listed,,,,,,
358,Eureka Rattler, Mixed Cocktail, Rocks Glass, None, Any, 3/4 oz. Southern Comfort, 3/4 oz. Blackberry Brandy, Triple Sec, splash Sweet and Sour Mix, Blend ingredients in a mixing glass with little ice; serve straight up or on the rocks; optional drop of grenadine,,,,,
359,Evita Cocktail, Frozen Drink, Tall Specialty, Mint Sprig, St. Patrick`s Day, 1 oz. Melon Liqueur, 1 oz. Vodka, 1 1/2 oz. Orange juice, 1/2 oz. Sweet & Sour Mix, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,
360,Fairplay Lazerbeam, Mixed Cocktail, Tall Glass, None, Any, 1/4 oz. Jack Daniel`s, 1/4 oz. Peppermint Schnapps, 1/4 oz. Galliano, 1/4 oz. Bacardi 151 Proof Rum, 1/4 oz. Pepe Lopez Tequila, Mix ingredients as listed,,,,
361,Fantastic Gymnastic, Smoothie, Collins, Apple Slice, Any, 3/4 Apple (seeded), 2 oz. Apple Cider, 1/2 oz. Honey, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,,
362,Flaming Jesus, Hot Drink, Cordial, None, Any, 1 oz. Southern Comfort, 1 oz. Bacardi Light, Layer Southern Comfort, then Barcardi, and flame,,,,,
363,Flaming Shooter, Shooter, Shot Glass, None, Any, 1/2 oz. Southern Comfort, 1/2 oz. Amaretto, 1/2 oz. Creme de Banana, 1/2 oz. Milk, dash Grenadine, Mix ingredients as listed,,,,
364,Flamingo, Frozen Drink, Collins, Pineapple Wedge& Cherry, Mother`s Day, 1 1/4 oz. Sloe Gin, 4 oz. Pina Colada Mix, Combine ingredients in blender, blend until smooth,,,,,,
365,Flash Cadillac, Martini, Chilled Cocktail (rimmed with yellow sugar, 2 Lemon Drops (candy) dropped into martini, Any, 1 oz. Vodka, 1/2 oz. Triple Sec, juice of 1/2 Lemon, 1/2 oz. Simple Syrup, In Shaker, mix ingredients with ice and strain into glass,,,,
366,Flying Grasshopper, Ice Cream Drink, Tall Specialty, None, St. Patrick`s Day, 3/4 oz. Green Creme de Menthe, 3/4 oz. White Creme de Cacao, 3/4 oz. Vodka, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,
367,Fog Cutter, Mixed Cocktail, Collins, Orange Slice & Cherry, Any, 1 1/4 oz. Rum, 1/2 oz. Brandy, 1/4 oz. Gin, 2 oz. Sweet & Sour Mix, 1 oz. Orange juice, 1/2 oz. Almond Syrup, Top with Harvey`s Bristol Cream, In Shaker, mix ingredients, pour over ice
368,Fox River, Mixed Cocktail, Short Glass, Lemon wedge, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Dark Creme de Cacao, 2-3 dashes Bitters, Lemon Wedge, Mix ingredients as listed,,,,,
369,French 75, Mixed Cocktail, Collins, Lemon Twist, Any, 1 1/4 oz. Brandy, 1 1/2 oz. Sweet & Sour Mix, Fill with Champagne, In Shaker, mix ingredients, pour over ice,,,
370,French Canadian Mist, Mixed Cocktail, Highball Glass, None, Any, 1 1/2 oz. Canadian Mist, 1/2 oz. Cognac, Coke, It`s served in a highball glass, with Canadian Mist and cognac poured over ice and then filled with Coke,,,,
371,French Martini, Martini, Chilled Martini, None, Any, 3/4 oz. Raspberry Liqueur, 3/4 oz. Orange Brandy Liqueur, 3/4 oz. Sweet & Sour Mix, Splash of Lemon-Lime Soda, In Shaker, mix ingredients with ice and strain into glass,,,
372,Friar Tuck, Highball, Tall Highball, None, Any, 1 1/2 oz. Hazelnut Liqueur, 3/4 oz. Dark Creme de Cacao, 1 oz. Half & Half, Pour ingredients as listed over ice,,,,,
373,Friday`s Freeze, Ice Cream Drink, Tall Specialty, Aerosol Cream, Blue, 2 oz. Blueberries with juice, 1 1/4 oz. Triple Sec, 2 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
374,Friday`s Frozen Tea, Frozen Drink, Tall Specialty, Lemon Wedge, Any, 1/2 oz. Bourbon, 1/2 oz. Vodka, 1/2 oz. Gin, 1/2 oz. Triple Sec, 2 oz. Sweet & Sour Mix, 1/2 Scoop Crushed Ice, 1 oz. Cola, Combine ingredients in blender, blend until smooth
375,Frisky Whiskey, Mixed Cocktail, Stemmed Glass, None, Any, 2/3 cup Jack Daniel`s, 1 tsp Sugar, 1 tsp White Creme de Menthe, dash Curacao, Combine all ingredients, shake in cocktail shaker; strain into small stemmed glasses; makes 3 servings,,,
376,Frost Bite, Mixed Cocktail, Short Glass, None, Winter, 1 1/2 oz. Pepe Lopez Tequila, 3/4 oz. Blue Curacao, 3/4 oz. Half `n` Half, Mix ingredients as listed,,,,,
377,Frozen Almond Chocolate, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 1 1/4 oz. Amaretto, 1 Packet Instant Hot Chocolate, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
378,Frozen Apple Pie, Mixed Cocktail, Tall Glass, Apple wedge, Any, 2 oz. Korbel Spiced Brandy, 1/4 oz. Cinnamon Schnapps, 1 oz. Half `n` Half, 2 oz. Apple juice Concentrate, 2 c Crushed Ice, Combine all ingredients in a blender until smooth, serve in a 16 oz. Glass,,
379,Frozen Black Forest, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 1/2 oz. Raspberry Liqueur, 1/2 oz. White Creme de Cacao, 1/2 oz. Vodka, 1 Packet Instant Hot Chocolate, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream,, Combine ingredients in blender, blend until smooth
380,Frozen Black Irish, Ice Cream Drink, Tall Specialty, None, Any, 3/4 oz. Irish Cream, 3/4 oz. Coffee Liqueur, 3/4 oz. Vodka, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
381,Frozen Brandy Chocolate Alexander, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 3/4 oz. Brandy, 3/4 oz. Dark Creme de Cacao, 1 Packet Instant Hot Chocolate, 1 oz. Half & Half, 2 Scoops Vanilla Ice Cream, 1/2 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,
382,Frozen Cafe Gates, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 1/2 oz. Orange Brandy Liqueur, 1/2 oz. Dark Creme de Cacao, 1/2 oz. Coffee Liqueur, 2 oz. Double Brewed Chilled Coffee, 1 Scoop Coffee Ice Cream, 1 Sc, Combine ingredients in blender, blend until smooth,
383,Frozen Cafe Henry 3, Ice Cream Drink, Tall Specialty, None, Any, 1/2 oz. Galliano, 1/4 oz. Coffee Liqueur, 1/4 oz. Brandy, 1/2 oz. Orange Brandy Liqueur, 2 oz. Double Brewed Chilled Coffee, 1 Scoop Coffee Ice Cream,, Combine ingredients in blender, blend until smooth
384,Frozen Cafe Nelson, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 3/4 oz. Irish Cream, 3/4 oz. Hazelnut Liqueur, 2 oz. Double Brewed Chilled Coffee, 1 Scoop Coffee Ice Cream, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,
385,Frozen Cafe Oscar, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 3/4 oz. Coffee Liqueur, 3/4 oz. Amaretto, 2 oz. Double Brewed Chilled Coffee, 1 Scoop Coffee Ice Cream, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,,
386,Frozen Cafe Reese, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 1/2 oz. Coffee Liqueur, 1/2 oz. Irish Cream, 1/2 oz. Amaretto, 2 oz. Double Brewed Chilled Coffee, 1 Scoop Coffee Ice Cream, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,
387,Frozen Cafe Reggae, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 1/2 oz. Dark Creme de Cacao, 1/2 oz. Gold Rum, 1/2 oz. Coffee Liqueur, 2 oz. Double Brewed Chilled Coffee, 1 Scoop Coffee Ice Cream, 1 Scoop Crushed I, Combine ingredients in blender, blend until smooth,,,
388,Frozen Cafe Toledo, Ice Cream Drink, Tall Specialty, Aerosol Whip & Cocoa Sprinkles or Chocolate Shavings, Any, 3/4 oz. Coffee Liqueur, 3/4 oz. Irish Cream, 1/2 oz. Chocolate Syrup, 2 oz. Double Brewed Chilled Coffee,1 Scoop Coffee Ice Cream, 1 Scoop Crushed Ice, Combine ingredients in blender, blend until smooth,,,
